Year,GCAG,GISTEMP,Average Land Temperature (Degrees Celcius),c-C4F8,C2F6,C3F8,C4F10,C5F12,C6F14,C7F16,C8F18,CO2,CCl4,CF4,CFC11,CFC12,CFC113,CFC114,CFC115,CH2Cl2,CH3CCl3,CHCl3,Halon1211,Halon1301,Halon2402,HCFC22,HCFC141b,HCFC142b,HFC23,HFC32,HFC125,HFC134a,HFC143a,HFC152a,HFC227ea,HFC236fa,HFC245fa,HFC365mfc,HFC4310mee,CH4,CH3Br,CH3Cl,NF3,N20,SF6,SO2F2
1880,-0.1148,-0.2,8.11875,0,0.000349169,0,0,0,0,0,0,289.4699993,0.025000429,34.0507,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000294571,0,0,0,0,5.33E-06,0,0,0,0,868.6961063,5.299997818,457,0,277.2650474,0,2.84E-05
1881,-0.0628,-0.12,8.270916667,0,0.000363189,0,0,0,0,0,0,289.7369993,0.025000429,34.0507,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.00029711,0,0,0,0,5.38E-06,0,0,0,0,870.9841267,5.299997818,457,0,277.3740486,0,2.87E-05
1882,-0.0648,-0.1,8.128916667,0,0.00037743,0,0,0,0,0,0,290.0189993,0.025000429,34.0508,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.00029965,0,0,0,0,5.42E-06,0,0,0,0,873.2501344,5.299997818,457,0,277.4860478,0,2.89E-05
1883,-0.1424,-0.21,7.976916667,0,0.000391897,0,0,0,0,0,0,290.2629992,0.025000429,34.0509,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000302189,0,0,0,0,5.47E-06,0,0,0,0,875.6031505,5.299997818,457,0,277.5910485,0,2.92E-05
1884,-0.2009,-0.28,7.773666667,0,0.000406599,0,0,0,0,0,0,290.5119992,0.025000429,34.051,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000304729,0,0,0,0,5.52E-06,0,0,0,0,878.1481951,5.299997818,457,0,277.6950481,0,2.94E-05
1885,-0.2125,-0.32,7.919666667,0,0.00042154,0,0,0,0,0,0,290.7969992,0.025000429,34.051,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000307268,0,0,0,0,5.56E-06,0,0,0,0,881.0251277,5.299997818,457,0,277.7950483,0,2.96E-05
1886,-0.2003,-0.31,7.9545,0,0.000436727,0,0,0,0,0,0,291.0999992,0.025000429,34.0511,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000309808,0,0,0,0,5.61E-06,0,0,0,0,883.8392111,5.299997818,457,0,277.8850489,0,2.99E-05
1887,-0.2489,-0.33,7.914916667,0,0.000452166,0,0,0,0,0,0,291.4139991,0.025000429,34.0512,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000312347,0,0,0,0,5.65E-06,0,0,0,0,886.9331312,5.299997818,457,0,277.9950475,0,3.01E-05
1888,-0.1471,-0.2,8.0905,0,0.000467863,0,0,0,0,0,0,291.7629991,0.025000429,34.0513,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000314886,0,0,0,0,5.70E-06,0,0,0,0,889.9262115,5.299997818,457,0,278.0800495,0,3.04E-05
1889,-0.0982,-0.12,8.319,0,0.000483826,0,0,0,0,0,0,292.1129991,0.025000429,34.0514,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000317426,0,0,0,0,5.75E-06,0,0,0,0,893.1561629,5.299997818,457,0,278.1910472,0,3.06E-05
1890,-0.322,-0.37,7.971666667,0,0.000500059,0,0,0,0,0,0,292.457999,0.025000429,34.0515,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000319965,0,0,0,0,5.79E-06,0,0,0,0,896.3831741,5.299997818,457,0,278.2730493,0,3.09E-05
1891,-0.2532,-0.24,8.019333333,0,0.000516571,3.28E-08,0,0,0,0,0,292.815999,0.025000429,34.0516,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000322505,0,0,0,0,5.84E-06,0,0,0,0,899.666268,5.299997818,457,0,278.3470486,0,3.11E-05
1892,-0.3062,-0.27,8.065833333,0,0.000533365,3.05E-07,0,0,0,0,0,293.1669989,0.025000429,34.0517,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000325044,0,0,0,0,5.88E-06,0,0,0,0,903.5341862,5.299997818,457,0,278.4420486,0,3.14E-05
1893,-0.3212,-0.3,8.05675,0,0.00055045,6.92E-07,0,0,0,0,0,293.4769989,0.025000429,34.0518,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000327583,0,0,0,0,5.93E-06,0,0,0,0,907.2741284,5.299997818,457,0,278.5540482,0,3.16E-05
1894,-0.2808,-0.31,8.161,0,0.000567831,1.24E-06,0,0,0,0,0,293.7909989,0.025000429,34.0519,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000330123,0,0,0,0,5.98E-06,0,0,0,0,910.4781392,5.299997818,457,0,278.6890478,0,3.19E-05
1895,-0.229,-0.21,8.147,0,0.000585515,1.96E-06,0,0,0,0,0,294.0789989,0.025000429,34.0521,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000332662,0,0,0,0,6.02E-06,0,0,0,0,913.2259779,5.299997818,457,0,278.8310472,0,3.21E-05
1896,-0.0974,-0.15,8.214916667,0,0.000603507,2.85E-06,0,0,0,0,0,294.3649988,0.025000429,34.0522,0,0,0,0,0,6.91276128,0,6,0.004446573,0,0,0,0,0,0,0.000335202,0,0,0,0,6.07E-06,0,0,0,0,914.7710873,5.299997818,457,0,278.9390487,0,3.24E-05
